image_indx,time [min],x center [um],y center [um],x span [um],y span [um],area [um^2],outline [um],ramification index,spanned area (convex hull) [um^2],spanned outline (convex hull) [um],spanned area center x (convex hull) [um],spanned area center y (convex hull) [um],polarity vector x (binary) [um],polarity vector y (binary) [um],polarity vector length (binary) [um],polarity index (binary),ID of largest skeleton (skl),# found skls,# branches (largest skl),# junctions (largest skl),# tips (largest skl),# triple points (largest skl),# quadruple points (largest skl),# junction voxels (largest skl),# slab voxels (largest skl),tree length (largest skl) [um],average branch length (largest skl) [um],maximum branch length (largest skl) [um],shortest path (largest skl) [um],# branches (all skls),# junctions (all skls),# tips (all skls),# triple points (all skls),# quadruple points (all skls),# junction voxels (all skls),# slab voxels (all skls),tree length (all skls) [um],average branch length (all skls) [um],maximum branch length (all skls) [um],shortest path (all skl) [um]
0,0.0,16.044882,13.662761,31.692,32.109,422.202492,160.128,2.198376,614.871504,125.934,15.911451,13.247298,-0.133431,-0.415464,0.436364,0.015596,1,1,5,2,4,2,0,2,106,52.951809,10.590362,20.86736,35.52163,5,2,4,2,0,2,106,52.951809,10.590362,20.86736,35.52163
1,0.0,11.265404,14.772348,21.684,42.534,458.545293,147.618,1.944658,630.173736,126.768,9.916522,18.116947,-1.348882,3.344599,3.606359,0.127316,1,1,1,0,2,0,0,0,74,36.284085,36.284085,36.284085,36.284085,1,0,2,0,0,0,74,36.284085,36.284085,36.284085,36.284085
2,0.0,18.816225,9.058745,36.279,17.514,362.384676,135.108,2.002125,443.243061,105.084,19.577487,9.344056,0.761263,0.285311,0.812972,0.034222,1,1,3,1,3,1,0,3,83,42.223266,14.074422,23.339725,33.406995,3,1,3,1,0,3,83,42.223266,14.074422,23.339725,33.406995
3,0.0,13.975307,10.122089,25.437,22.935,337.170771,112.59,1.729697,385.859691,95.076,14.105932,10.07086,0.130625,-0.051229,0.140312,0.00633,1,1,3,1,3,1,0,1,56,27.53936,9.179787,12.051089,21.945633,3,1,3,1,0,1,56,27.53936,9.179787,12.051089,21.945633
4,0.0,16.660455,17.026724,30.441,41.7,591.744267,170.97,1.982659,835.884423,141.78,16.64118,20.021595,-0.019275,2.994871,2.994933,0.091803,1,1,3,1,3,1,0,3,105,52.606355,17.535452,44.826447,50.175901,3,1,3,1,0,3,105,52.606355,17.535452,44.826447,50.175901
5,0.0,12.794026,22.473991,26.271,40.449,383.077467,158.46,2.28387,611.915391,130.938,13.656069,20.745069,0.862043,-1.728922,1.931913,0.069213,1,1,5,2,4,2,0,4,116,58.200082,11.640016,19.729816,40.180176,5,2,4,2,0,4,116,58.200082,11.640016,19.729816,40.180176
6,0.0,12.19022,9.596983,24.186,18.765,242.401266,102.582,1.858655,314.73909,84.234,12.821713,9.695135,0.631493,0.098152,0.639075,0.031924,1,1,3,1,3,1,0,3,38,20.86736,6.955787,9.793362,16.524633,3,1,3,1,0,3,38,20.86736,6.955787,9.793362,16.524633
7,0.0,9.737286,6.285686,18.765,13.761,172.497888,65.052,1.397217,175.454001,63.384,9.548225,6.417213,-0.189061,0.131526,0.230311,0.015409,1,1,1,0,2,0,0,0,18,8.786635,8.786635,8.786635,8.786635,1,0,2,0,0,0,18,8.786635,8.786635,8.786635,8.786635
8,0.0,43.427628,12.220052,70.056,25.02,646.345413,278.556,3.090831,1326.425292,188.484,38.61197,11.319899,-4.815658,-0.900153,4.899065,0.119211,1,1,9,4,6,4,0,8,209,104.450256,11.605584,25.281633,76.78008,9,4,6,4,0,8,209,104.450256,11.605584,25.281633,76.78008
9,0.0,29.157856,20.618072,67.971,51.291,786.152169,334.434,3.364745,2103.709122,236.856,30.238946,23.425487,1.08109,2.807415,3.008377,0.058128,1,1,9,4,6,4,0,10,256,124.120802,13.7912,22.303362,81.164717,9,4,6,4,0,10,256,124.120802,13.7912,22.303362,81.164717
10,0.0,7.935658,22.381522,23.769,44.202,498.365874,168.468,2.128817,693.81711,134.274,9.186019,22.631186,1.25036,0.249664,1.275042,0.042899,1,1,6,3,3,3,0,3,137,67.18908,11.19818,17.489449,41.621263,6,3,3,3,0,3,137,67.18908,11.19818,17.489449,41.621263
11,0.0,14.93176,11.901303,31.692,28.773,470.369745,126.768,1.648865,571.225365,119.262,14.556981,12.992565,-0.374779,1.091262,1.153824,0.042784,1,1,3,1,3,1,0,1,69,33.478541,11.159514,20.420725,29.034633,3,1,3,1,0,1,69,33.478541,11.159514,20.420725,29.034633
12,0.0,25.639045,10.731433,47.955,22.518,393.163029,185.982,2.645938,791.890506,139.278,23.219043,12.641675,-2.420001,1.910241,3.083088,0.097095,1,1,5,2,4,2,0,4,122,60.702082,12.140416,35.52163,54.905993,5,2,4,2,0,4,122,60.702082,12.140416,35.52163,54.905993
13,0.0,17.567104,14.996852,31.275,34.611,426.02805,162.63,2.222678,718.335459,130.104,18.634227,14.476138,1.067123,-0.520713,1.18739,0.039262,1,1,3,1,3,1,0,3,99,51.658899,17.219633,20.968541,36.873812,3,1,3,1,0,3,99,51.658899,17.219633,20.968541,36.873812
14,0.0,8.259971,11.646721,17.931,22.101,204.319575,116.76,2.304274,273.875175,78.396,7.793664,11.327441,-0.466308,-0.31928,0.56514,0.030264,1,1,3,1,2,0,1,6,71,41.381356,13.793785,23.84563,17.535726,3,1,2,0,1,6,71,41.381356,13.793785,23.84563,17.535726
15,0.0,17.082863,15.769931,37.53,31.275,592.439823,174.306,2.020158,853.968879,135.942,19.026145,14.544181,1.943282,-1.225751,2.297566,0.069677,1,1,7,3,5,3,0,3,122,62.458988,8.922713,22.004903,43.360809,7,3,5,3,0,3,122,62.458988,8.922713,22.004903,43.360809
16,0.0,17.193344,11.303904,32.109,28.356,343.952442,148.452,2.258042,534.013119,119.262,17.617266,11.555082,0.423921,0.251178,0.492747,0.018897,1,1,3,1,3,1,0,1,97,47.918174,15.972725,16.566543,33.01963,3,1,3,1,0,1,97,47.918174,15.972725,16.566543,33.01963
17,0.0,20.935172,14.568562,39.615,37.947,495.061983,244.362,3.098125,1122.105717,153.456,22.006233,17.062008,1.071061,2.493446,2.713751,0.071796,1,1,5,2,4,2,0,4,169,88.764708,17.752942,30.606536,58.735623,5,2,4,2,0,4,169,88.764708,17.752942,30.606536,58.735623
18,0.0,16.030256,18.006836,30.858,46.704,747.7227,176.808,1.824008,925.08948,153.456,16.608906,19.534255,0.57865,1.527419,1.633354,0.047592,1,1,3,1,3,1,0,3,85,42.19363,14.064543,28.891541,38.44063,3,1,3,1,0,3,85,42.19363,14.064543,28.891541,38.44063
19,0.0,27.75272,24.111009,47.955,51.291,1135.669059,325.26,2.7227,1814.705604,196.824,26.468911,25.659245,-1.283808,1.548237,2.011268,0.041842,1,1,9,4,6,4,0,8,216,109.960162,12.217796,22.046814,58.705988,9,4,6,4,0,8,216,109.960162,12.217796,22.046814,58.705988
20,0.0,16.46859,11.968066,35.445,22.101,348.821334,127.602,1.927308,472.108635,113.424,16.745199,11.155556,0.27661,-0.81251,0.858304,0.035008,1,1,1,0,2,0,0,0,61,30.172176,30.172176,30.172176,30.172176,1,0,2,0,0,0,61,30.172176,30.172176,30.172176,30.172176
21,0.0,24.50436,37.188733,42.117,61.299,620.435952,226.014,2.559658,938.478933,205.164,22.806778,34.423362,-1.697581,-2.765372,3.244852,0.09387,1,1,1,0,2,0,0,0,139,71.334529,71.334529,71.334529,71.334529,1,0,2,0,0,0,139,71.334529,71.334529,71.334529,71.334529
22,0.0,13.357221,20.114423,26.271,34.611,370.209681,145.95,2.13981,547.228683,120.096,12.886254,19.996588,-0.470967,-0.117835,0.485484,0.018392,1,1,5,2,4,2,0,4,119,58.241993,11.648399,21.397816,36.987268,5,2,4,2,0,4,119,58.241993,11.648399,21.397816,36.987268
23,0.0,8.363458,12.553144,17.931,25.437,221.012919,104.25,1.978164,267.441282,85.068,8.392871,12.892024,0.029412,0.33888,0.340154,0.018433,1,1,3,1,3,1,0,1,48,24.548814,8.182938,12.051089,19.932179,3,1,3,1,0,1,48,24.548814,8.182938,12.051089,19.932179
24,0.0,16.695983,19.887052,36.696,36.696,700.946559,171.804,1.830568,794.846619,145.116,17.901853,18.862933,1.20587,-1.024119,1.582069,0.049731,1,1,8,4,3,3,1,9,106,56.620988,7.077624,16.208814,34.014082,8,4,3,3,1,9,106,56.620988,7.077624,16.208814,34.014082
25,0.0,16.657703,11.992466,29.19,25.437,370.731348,111.756,1.63733,432.114165,107.586,15.719558,12.212227,-0.938145,0.219761,0.963541,0.041079,1,1,1,0,2,0,0,0,50,25.239722,25.239722,25.239722,25.239722,1,0,2,0,0,0,50,25.239722,25.239722,25.239722,25.239722
26,0.0,17.850252,14.547747,35.862,28.773,582.354261,188.484,2.203312,778.501053,127.602,16.663281,14.312079,-1.186971,-0.235668,1.210141,0.038437,1,1,5,2,4,2,0,2,122,61.178353,12.235671,23.398995,41.490447,5,2,4,2,0,2,122,61.178353,12.235671,23.398995,41.490447
27,0.0,9.095449,3.342788,15.846,7.506,74.77227,49.206,1.605251,79.815051,45.036,8.372252,3.316467,-0.723197,-0.026321,0.723676,0.071787,1,1,1,0,2,0,0,0,23,10.698908,10.698908,10.698908,10.698908,1,0,2,0,0,0,23,10.698908,10.698908,10.698908,10.698908
28,0.0,13.938816,13.503157,27.522,26.688,524.623113,110.922,1.366121,529.665894,106.752,13.912823,13.319084,-0.025993,-0.184073,0.185899,0.007158,1,1,1,0,2,0,0,0,4,2.603181,2.603181,2.603181,2.603181,1,0,2,0,0,0,4,2.603181,2.603181,2.603181,2.603181
29,0.0,13.648258,13.527892,30.858,25.854,271.092951,170.97,2.929246,501.321987,111.756,14.433798,13.967041,0.78554,0.439149,0.899958,0.035621,1,1,15,8,5,7,1,17,139,79.590708,5.306047,17.215541,39.363536,15,8,5,7,1,17,139,79.590708,5.306047,17.215541,39.363536
30,0.0,20.603337,20.945686,37.113,41.283,649.823193,190.986,2.113484,903.875022,155.124,20.024343,20.73504,-0.578994,-0.210646,0.616121,0.018162,1,1,8,4,3,3,1,11,143,76.624713,9.578089,19.485543,39.014206,8,4,3,3,1,11,143,76.624713,9.578089,19.485543,39.014206
31,0.0,15.296673,9.631284,27.939,22.518,297.002412,117.594,1.924865,375.078573,99.246,15.879348,9.451903,0.582675,-0.179381,0.609662,0.027898,1,1,4,1,4,0,1,2,90,47.977445,11.994361,15.905271,29.653995,4,1,4,0,1,2,90,47.977445,11.994361,15.905271,29.653995
32,0.0,12.185421,24.981364,30.024,51.291,426.02805,187.65,2.564629,768.763269,160.962,14.302459,26.806705,2.117038,1.825341,2.795303,0.089346,1,1,1,0,2,0,0,0,125,57.723812,57.723812,57.723812,57.723812,1,0,2,0,0,0,125,57.723812,57.723812,57.723812,57.723812
33,0.0,16.833932,11.006993,34.194,21.684,196.668459,118.428,2.382221,281.004624,110.088,16.74864,10.585504,-0.085293,-0.42149,0.430033,0.022735,1,1,1,0,2,0,0,0,66,34.502628,34.502628,34.502628,34.502628,1,0,2,0,0,0,66,34.502628,34.502628,34.502628,34.502628
34,0.0,24.594523,19.091374,40.032,43.785,359.254674,178.476,2.656279,699.903225,165.966,21.722488,21.536315,-2.872034,2.444941,3.771779,0.126349,1,1,5,2,4,2,0,4,107,57.931259,11.586252,38.314899,51.128442,5,2,4,2,0,4,107,57.931259,11.586252,38.314899,51.128442
35,0.0,14.133613,17.335133,26.688,53.376,577.485369,184.314,2.16363,839.709981,158.46,14.714124,21.772555,0.580511,4.437422,4.475233,0.136866,1,1,3,1,3,1,0,1,111,53.41072,17.803573,43.200358,50.807539,3,1,3,1,0,1,111,53.41072,17.803573,43.200358,50.807539
36,0.0,14.617134,17.973139,31.692,34.611,561.835359,159.294,1.895789,744.418809,130.938,16.080118,18.020468,1.462984,0.04733,1.463749,0.047545,1,1,3,1,3,1,0,1,75,39.435082,13.145027,19.413998,31.697085,3,1,3,1,0,1,75,39.435082,13.145027,19.413998,31.697085
37,0.0,17.929272,21.684681,40.449,39.615,692.252109,185.982,1.99404,955.867833,158.46,17.748216,21.064417,-0.181055,-0.620264,0.646149,0.018522,1,1,5,2,4,2,0,2,111,57.627715,11.525543,16.381541,42.598355,5,2,4,2,0,2,111,57.627715,11.525543,16.381541,42.598355
38,0.0,18.356171,25.637329,37.53,47.538,479.238084,177.642,2.289102,733.463802,168.468,18.714482,24.049373,0.358311,-1.587957,1.62788,0.053269,1,1,3,1,3,1,0,3,117,59.855807,19.951936,41.347355,51.313445,3,1,3,1,0,3,117,59.855807,19.951936,41.347355,51.313445
39,0.0,7.740308,15.592676,14.178,31.275,213.535692,117.594,2.2701,323.085762,89.238,6.658085,14.444629,-1.082223,-1.148047,1.577726,0.077789,1,1,3,1,3,1,0,3,85,42.020903,14.006968,20.664998,36.224814,3,1,3,1,0,3,85,42.020903,14.006968,20.664998,36.224814
40,0.0,27.989507,20.759718,47.955,40.866,918.829476,236.022,2.196494,1394.763669,175.974,26.938975,18.169341,-1.050533,-2.590377,2.795295,0.066332,1,1,5,2,4,2,0,4,140,73.389894,14.677979,25.412449,46.237899,5,2,4,2,0,4,140,73.389894,14.677979,25.412449,46.237899
41,0.0,24.622221,37.106736,52.959,54.21,1012.903425,274.386,2.432053,1687.244967,212.67,24.181337,33.551181,-0.440884,-3.555556,3.582786,0.0773,1,1,7,3,5,3,0,3,180,91.8268,13.118114,30.791539,65.377988,7,3,5,3,0,3,180,91.8268,13.118114,30.791539,65.377988
42,0.0,12.846067,17.565919,27.522,42.534,617.30595,160.128,1.818076,752.417703,138.444,13.743412,19.173471,0.897345,1.607552,1.841046,0.059481,1,1,1,0,2,0,0,0,86,45.08808,45.08808,45.08808,45.08808,1,0,2,0,0,0,86,45.08808,45.08808,45.08808,45.08808
43,0.0,24.192004,21.250466,43.785,45.453,833.276088,246.864,2.41245,1208.52855,176.808,21.41634,22.88856,-2.775664,1.638094,3.22299,0.082163,1,1,7,3,5,3,0,7,187,99.868341,14.266906,28.950812,58.937986,7,3,5,3,0,7,187,99.868341,14.266906,28.950812,58.937986
44,0.0,25.854638,14.258127,45.453,31.692,682.340436,190.152,2.053503,964.562283,152.622,24.074702,13.728938,-1.779935,-0.529189,1.856936,0.052988,1,1,3,1,3,1,0,3,99,51.140717,17.046906,26.174903,40.513355,3,1,3,1,0,3,99,51.140717,17.046906,26.174903,40.513355
45,0.0,18.373254,23.714547,33.36,50.04,459.414738,206.832,2.722139,864.923886,165.132,16.583002,22.528144,-1.790252,-1.186403,2.147686,0.064718,1,1,3,1,3,1,0,3,144,74.569348,24.856449,42.56872,61.035261,3,1,3,1,0,3,144,74.569348,24.856449,42.56872,61.035261
46,0.0,26.924876,39.936122,42.951,64.218,411.421374,216.006,3.004121,740.245473,211.836,24.612355,35.070562,-2.312521,-4.86556,5.387154,0.175475,1,1,1,0,2,0,0,0,158,80.293891,80.293891,80.293891,80.293891,1,0,2,0,0,0,158,80.293891,80.293891,80.293891,80.293891
47,0.0,15.379935,16.078476,33.777,30.024,716.770458,146.784,1.54662,795.542175,125.934,15.805576,16.564197,0.425641,0.485721,0.645829,0.020292,1,1,3,1,3,1,0,3,60,32.632266,10.877422,21.558268,30.374539,3,1,3,1,0,3,60,32.632266,10.877422,21.558268,30.374539
48,0.0,14.828749,14.561466,30.858,30.024,367.601346,159.294,2.343721,573.659811,120.096,14.030426,14.889074,-0.798323,0.327608,0.862929,0.03193,1,1,7,3,5,3,0,5,121,62.774807,8.96783,14.999725,31.35163,7,3,5,3,0,5,121,62.774807,8.96783,14.999725,31.35163
49,0.0,24.16715,23.424517,51.708,48.372,1257.913026,261.876,2.082886,1562.914332,198.492,25.252347,23.025981,1.085197,-0.398536,1.156064,0.025915,1,1,5,2,4,2,0,2,160,82.033437,16.406687,21.457087,57.252626,5,2,4,2,0,2,160,82.033437,16.406687,21.457087,57.252626
50,0.0,13.224788,15.879794,27.939,33.777,524.623113,162.63,2.002959,742.158252,121.764,12.748788,17.158749,-0.476,1.278955,1.364662,0.044394,1,1,5,2,4,2,0,2,95,47.846628,9.569326,13.605633,32.60263,5,2,4,2,0,2,95,47.846628,9.569326,13.605633,32.60263
51,0.0,47.884941,32.20828,133.44,62.55,908.222247,396.15,3.708162,2173.6125,390.312,58.403919,29.182928,10.518978,-3.025352,10.945394,0.208058,1,1,1,0,2,0,0,0,300,147.107882,147.107882,147.107882,147.107882,1,0,2,0,0,0,300,147.107882,147.107882,147.107882,147.107882
52,0.0,55.194,30.244141,92.157,59.214,1470.057606,357.786,2.632396,3044.100834,301.074,47.979654,28.163746,-7.214346,-2.080395,7.508317,0.120603,1,1,5,2,4,2,0,4,255,121.89271,24.378542,40.441809,90.14144,5,2,4,2,0,4,255,121.89271,24.378542,40.441809,90.14144
53,0.0,16.891996,25.209342,32.526,44.202,518.536998,214.338,2.655244,924.393924,151.788,17.043267,22.991322,0.151271,-2.21802,2.223173,0.064802,1,1,11,5,7,5,0,7,172,86.704259,7.882205,13.331725,53.237993,11,5,7,5,0,7,172,86.704259,7.882205,13.331725,53.237993
54,0.0,16.343203,23.760769,34.611,65.052,532.969785,229.35,2.80248,1184.010201,197.658,15.924115,28.051288,-0.419088,4.290519,4.310938,0.11103,1,1,7,3,5,3,0,7,180,90.802713,12.971816,43.242268,70.078445,7,3,5,3,0,7,180,90.802713,12.971816,43.242268,70.078445
55,0.0,15.196744,18.948848,34.611,38.364,485.324199,216.84,2.776633,858.142215,144.282,16.502426,18.15809,1.305682,-0.790758,1.526468,0.04618,1,1,9,4,6,4,0,6,158,78.721988,8.746888,15.243998,48.507901,9,4,6,4,0,6,158,78.721988,8.746888,15.243998,48.507901
56,0.0,18.631691,71.599115,36.279,113.424,809.105517,311.082,3.085087,1325.381958,297.738,17.641967,66.57376,-0.989724,-5.025355,5.121889,0.124682,1,1,1,0,2,0,0,0,242,111.176442,111.176442,111.176442,111.176442,1,0,2,0,0,0,242,111.176442,111.176442,111.176442,111.176442
57,0.0,20.964202,16.963226,50.04,35.028,978.125625,205.164,1.850542,1264.868586,168.468,22.795293,18.484038,1.831091,1.520812,2.380286,0.059313,1,1,1,0,2,0,0,0,102,51.587353,51.587353,51.587353,51.587353,1,0,2,0,0,0,102,51.587353,51.587353,51.587353,51.587353
58,0.0,14.456,9.765339,32.526,18.348,307.78353,103.416,1.662877,343.082997,99.246,14.885294,9.412512,0.429294,-0.352827,0.55568,0.026587,1,1,1,0,2,0,0,0,41,20.968541,20.968541,20.968541,20.968541,1,0,2,0,0,0,41,20.968541,20.968541,20.968541,20.968541
59,0.0,11.829661,10.004872,27.105,20.85,197.016237,102.582,2.061651,275.961843,94.242,12.662007,9.247441,0.832346,-0.75743,1.125389,0.060038,1,1,1,0,2,0,0,0,51,27.038539,27.038539,27.038539,27.038539,1,0,2,0,0,0,51,27.038539,27.038539,27.038539,27.038539
60,0.0,25.519315,16.945939,45.036,31.692,320.651316,183.48,2.890462,681.297102,150.954,23.346253,18.212406,-2.173062,1.266467,2.515181,0.085398,1,1,3,1,3,1,0,1,123,62.560169,20.85339,36.701085,51.658899,3,1,3,1,0,1,123,62.560169,20.85339,36.701085,51.658899
61,0.0,15.839567,11.463464,31.275,25.02,287.438517,164.298,2.733725,599.221494,110.088,15.379507,12.21401,-0.46006,0.750546,0.880327,0.031871,1,1,7,3,5,3,0,9,123,64.68708,9.241011,15.690633,35.003449,7,3,5,3,0,9,123,64.68708,9.241011,15.690633,35.003449
62,0.0,18.9384,9.729052,31.692,22.101,293.350743,129.27,2.129115,445.15584,105.918,17.254678,9.983078,-1.683722,0.254025,1.702776,0.071523,1,1,5,2,4,2,0,2,85,42.98572,8.597144,14.654271,33.406995,5,2,4,2,0,2,85,42.98572,8.597144,14.654271,33.406995
63,0.0,19.294793,13.825993,51.291,26.688,681.123213,205.998,2.226616,988.211187,154.29,23.123028,13.105195,3.828235,-0.720798,3.895501,0.10982,1,1,5,2,4,2,0,6,115,58.027355,11.605471,21.874087,47.715812,5,2,4,2,0,6,115,58.027355,11.605471,21.874087,47.715812
64,0.0,26.409927,33.439462,50.457,59.631,1664.465508,229.35,1.585829,1857.13452,218.508,26.580665,33.238336,0.170738,-0.201126,0.263824,0.005425,1,1,3,1,3,1,0,3,128,62.888263,20.962754,28.617633,48.204358,3,1,3,1,0,3,128,62.888263,20.962754,28.617633,48.204358
65,0.0,12.400188,13.672776,25.02,31.692,329.171877,157.626,2.450821,548.619795,110.922,11.134561,14.149914,-1.265627,0.477138,1.35258,0.051177,1,1,5,2,4,2,0,6,100,55.57235,11.11447,17.287087,34.472993,5,2,4,2,0,6,100,55.57235,11.11447,17.287087,34.472993
66,0.0,16.594007,16.134903,30.858,31.692,304.827417,137.61,2.223402,454.719735,123.432,15.751358,15.526991,-0.842649,-0.607912,1.039045,0.043182,1,1,3,1,3,1,0,3,74,40.370263,13.456754,23.01163,34.431082,3,1,3,1,0,3,74,40.370263,13.456754,23.01163,34.431082
67,0.0,22.338389,24.813337,44.619,51.708,1420.67313,217.674,1.629126,1690.722747,190.986,23.033407,25.525285,0.695018,0.711947,0.994947,0.021444,1,1,5,2,4,2,0,2,167,85.9888,17.19776,26.389541,52.463263,5,2,4,2,0,2,167,85.9888,17.19776,26.389541,52.463263
68,0.0,8.24466,25.086159,20.85,41.7,325.520208,140.112,2.190693,508.451436,122.598,7.854688,24.560216,-0.389972,-0.525943,0.654747,0.025733,1,1,3,1,3,1,0,1,101,48.549812,16.183271,26.359906,37.648541,3,1,3,1,0,1,101,48.549812,16.183271,26.359906,37.648541
69,0.0,15.178174,14.828334,27.939,28.356,335.779659,136.776,2.105609,490.540869,110.922,15.385763,15.808084,0.207589,0.97975,1.0015,0.040074,1,1,5,2,4,2,0,4,83,44.266355,8.853271,16.870087,29.367812,5,2,4,2,0,4,83,44.266355,8.853271,16.870087,29.367812
70,0.0,24.290596,22.057968,46.704,40.449,577.137591,246.864,2.898766,1069.243461,172.638,23.225557,20.203341,-1.065038,-1.854627,2.138679,0.057963,1,1,9,4,6,4,0,6,194,98.844254,10.982695,23.744449,58.735623,9,4,6,4,0,6,194,98.844254,10.982695,23.744449,58.735623
71,0.0,17.276486,18.612622,31.692,35.028,342.387441,156.792,2.390342,606.350943,131.772,16.562267,18.244497,-0.714219,-0.368125,0.803508,0.028918,1,1,7,3,5,3,0,5,118,61.869261,8.838466,15.315543,41.174628,7,3,5,3,0,5,118,61.869261,8.838466,15.315543,41.174628
72,0.0,22.229641,11.608802,36.279,25.854,409.508595,151.788,2.115929,552.793131,121.764,21.795563,10.783038,-0.434078,-0.825764,0.932905,0.035164,1,1,3,1,3,1,0,1,87,46.33908,15.44636,23.643268,36.242174,3,1,3,1,0,1,87,46.33908,15.44636,23.643268,36.242174
73,0.0,16.094069,27.813724,32.943,47.538,905.266134,172.638,1.618614,1020.72843,159.294,14.705821,26.142845,-1.388248,-1.670878,2.172342,0.060258,1,1,3,1,3,1,0,3,76,39.304266,13.101422,31.107358,35.622812,3,1,3,1,0,3,76,39.304266,13.101422,31.107358,35.622812
74,0.0,19.067335,21.627933,37.113,38.364,372.470238,191.82,2.803775,777.631608,149.286,19.692154,20.480649,0.624819,-1.147284,1.306391,0.041518,1,1,7,3,5,3,0,5,148,72.65199,10.378856,19.729816,38.655268,7,3,5,3,0,5,148,72.65199,10.378856,19.729816,38.655268
75,0.0,8.952573,11.924237,18.348,21.267,151.457319,84.234,1.9308,188.669565,77.562,8.336733,11.50209,-0.61584,-0.422147,0.746637,0.048173,1,1,1,0,2,0,0,0,39,20.479995,20.479995,20.479995,20.479995,1,0,2,0,0,0,39,20.479995,20.479995,20.479995,20.479995
76,0.0,13.645969,16.710755,28.773,35.862,331.258545,147.618,2.287973,578.528703,127.602,14.551445,17.227414,0.905476,0.516659,1.042508,0.038412,1,1,7,3,5,3,0,5,115,56.847901,8.121129,16.292635,38.726814,7,3,5,3,0,5,115,56.847901,8.121129,16.292635,38.726814
77,0.0,16.51515,21.20914,30.024,36.279,390.380805,213.504,3.048294,724.943241,130.104,14.955036,21.388279,-1.560114,0.179139,1.570365,0.051688,1,1,11,5,7,5,0,5,174,88.431529,8.03923,20.652722,43.849355,11,5,7,5,0,5,174,88.431529,8.03923,20.652722,43.849355
78,0.0,16.155675,12.309785,30.858,25.02,288.829629,139.278,2.311834,463.414185,110.088,15.500743,11.964614,-0.654932,-0.345171,0.740323,0.030478,1,1,5,2,4,2,0,4,96,47.441903,9.488381,15.976816,35.319268,5,2,4,2,0,4,96,47.441903,9.488381,15.976816,35.319268
79,0.0,12.279279,26.108429,28.773,50.457,877.791672,180.978,1.723158,1109.237931,155.958,13.602313,24.506742,1.323034,-1.601688,2.077456,0.05528,1,1,5,2,4,2,0,2,152,76.451986,15.290397,23.571722,48.192082,5,2,4,2,0,2,152,76.451986,15.290397,23.571722,48.192082
80,0.0,24.542312,17.810481,57.546,30.024,718.683237,206.832,2.176427,1110.976821,173.472,28.756063,15.109348,4.213751,-2.701133,5.005179,0.13308,1,1,5,2,4,2,0,4,167,85.857983,17.171597,34.64572,59.855807,5,2,4,2,0,4,167,85.857983,17.171597,34.64572,59.855807
81,0.0,13.120047,11.916509,28.356,21.684,328.476321,142.614,2.219756,481.324752,98.412,12.808438,10.53618,-0.311609,-1.380329,1.415065,0.057161,1,1,5,2,4,2,0,4,92,48.537536,9.707507,17.430179,35.205812,5,2,4,2,0,4,92,48.537536,9.707507,17.430179,35.205812
82,0.0,8.704335,18.684247,17.097,33.36,268.484616,111.756,1.924005,351.25578,99.246,8.618895,17.841407,-0.08544,-0.84284,0.847159,0.040059,1,1,3,1,3,1,0,3,64,32.054814,10.684938,18.061816,29.380087,3,1,3,1,0,3,64,32.054814,10.684938,18.061816,29.380087
83,0.0,17.955559,17.518411,43.368,49.623,723.37824,237.69,2.493006,1021.597875,184.314,20.742645,20.98887,2.787086,3.470459,4.45106,0.123415,1,1,3,1,3,1,0,1,114,60.53444,20.178147,35.49708,50.467169,3,1,3,1,0,1,114,60.53444,20.178147,35.49708,50.467169
84,0.0,21.115892,24.047061,46.287,40.449,798.498288,212.67,2.12307,1100.71737,171.804,24.435344,22.642507,3.319452,-1.404553,3.604376,0.09628,1,1,6,3,3,3,0,5,154,80.121164,13.353527,27.080449,57.627715,6,3,3,3,0,5,154,80.121164,13.353527,27.080449,57.627715
85,0.0,13.574004,13.328371,30.858,28.773,327.085209,145.95,2.276506,528.796449,117.594,13.303205,12.513771,-0.270799,-0.8146,0.858432,0.033083,1,1,3,1,3,1,0,1,83,43.46199,14.48733,17.013179,32.042539,3,1,3,1,0,1,83,43.46199,14.48733,17.013179,32.042539
86,0.0,11.229443,34.051325,30.441,56.295,453.85029,195.99,2.595211,839.362203,171.804,13.820911,28.675424,2.591468,-5.375902,5.967916,0.182555,1,1,3,1,3,1,0,1,121,59.653445,19.884482,33.103452,55.382263,3,1,3,1,0,1,121,59.653445,19.884482,33.103452,55.382263
87,0.0,10.521696,21.263072,20.016,45.036,479.93364,170.97,2.201529,636.781518,127.602,9.83332,21.296265,-0.688376,0.033193,0.689175,0.024204,1,1,6,2,5,1,1,5,123,64.371261,10.728543,24.274906,47.054539,6,2,5,1,1,5,123,64.371261,10.728543,24.274906,47.054539
88,0.0,14.184149,10.646756,29.19,22.101,454.024179,105.084,1.391208,468.804744,100.914,14.264617,10.544253,0.080468,-0.102503,0.130315,0.005334,1,1,1,0,2,0,0,0,21,9.864908,9.864908,9.864908,9.864908,1,0,2,0,0,0,21,9.864908,9.864908,9.864908,9.864908
89,0.0,40.472675,19.682557,60.048,37.113,601.829829,216.006,2.483842,1107.151263,191.82,34.057216,16.485188,-6.41546,-3.197368,7.168074,0.190917,1,1,5,2,4,2,0,6,133,67.60608,13.521216,32.168271,60.243172,5,2,4,2,0,6,133,67.60608,13.521216,32.168271,60.243172
