image_indx,time [min],x center [um],y center [um],x span [um],y span [um],area [um^2],outline [um],ramification index,spanned area (convex hull) [um^2],spanned outline (convex hull) [um],spanned area center x (convex hull) [um],spanned area center y (convex hull) [um],polarity vector x (binary) [um],polarity vector y (binary) [um],polarity vector length (binary) [um],polarity index (binary),ID of largest skeleton (skl),# found skls,# branches (largest skl),# junctions (largest skl),# tips (largest skl),# triple points (largest skl),# quadruple points (largest skl),# junction voxels (largest skl),# slab voxels (largest skl),tree length (largest skl) [um],average branch length (largest skl) [um],maximum branch length (largest skl) [um],shortest path (largest skl) [um],# branches (all skls),# junctions (all skls),# tips (all skls),# triple points (all skls),# quadruple points (all skls),# junction voxels (all skls),# slab voxels (all skls),tree length (all skls) [um],average branch length (all skls) [um],maximum branch length (all skls) [um],shortest path (all skl) [um]
1189,0.0,14.087268,16.088241,31.692,29.607,670.515984,125.1,1.362849,691.208775,120.93,14.295337,15.929662,0.208069,-0.158578,0.26161,0.008819,1,1,1,0,2,0,0,0,34,16.322271,16.322271,16.322271,16.322271,1,0,2,0,0,0,34,16.322271,16.322271,16.322271,16.322271
1190,0.0,10.005073,12.490484,19.599,23.352,222.925698,89.238,1.686028,279.439623,84.234,9.398069,12.327449,-0.607003,-0.163035,0.628517,0.033321,1,1,1,0,2,0,0,0,49,23.613633,23.613633,23.613633,23.613633,1,0,2,0,0,0,49,23.613633,23.613633,23.613633,23.613633
1191,0.0,16.821937,23.739177,29.19,43.368,555.575355,170.136,2.036197,801.802179,143.448,15.658572,22.252435,-1.163365,-1.486742,1.887808,0.059084,1,1,3,1,3,1,0,1,103,49.211085,16.403695,28.861906,45.94663,3,1,3,1,0,1,103,49.211085,16.403695,28.861906,45.94663
1192,0.0,15.147962,16.486033,32.943,34.611,568.790919,147.618,1.746056,718.683237,133.44,15.306564,16.403396,0.158602,-0.082637,0.178839,0.005912,1,1,5,2,4,2,0,4,75,40.412174,8.082435,10.484271,28.462266,5,2,4,2,0,4,75,40.412174,8.082435,10.484271,28.462266
1193,0.0,15.395119,19.605593,26.688,40.866,632.434293,165.966,1.861686,723.726018,133.44,15.032539,18.601987,-0.36258,-1.003605,1.067093,0.035153,1,1,3,1,3,1,0,1,72,37.493174,12.497725,15.041635,28.992722,3,1,3,1,0,1,72,37.493174,12.497725,15.041635,28.992722
1194,0.0,11.048151,20.911454,21.684,45.036,555.749244,185.148,2.215515,805.627737,131.772,11.442658,23.374007,0.394507,2.462553,2.493953,0.077869,1,1,5,2,4,2,0,4,114,59.712715,11.942543,18.293814,45.445809,5,2,4,2,0,4,114,59.712715,11.942543,18.293814,45.445809
1195,0.0,16.72508,17.081011,31.692,35.445,677.993211,135.108,1.463738,706.511007,132.606,16.576084,16.911387,-0.148996,-0.169624,0.22577,0.007528,1,1,1,0,2,0,0,0,41,21.486722,21.486722,21.486722,21.486722,1,0,2,0,0,0,41,21.486722,21.486722,21.486722,21.486722
1196,0.0,28.094229,23.431483,55.044,48.789,1367.984763,250.2,1.908278,1838.180619,205.998,27.059892,21.868871,-1.034337,-1.562612,1.873929,0.038735,1,1,7,3,5,3,0,5,215,104.218259,14.888323,29.594725,57.050263,7,3,5,3,0,5,215,104.218259,14.888323,29.594725,57.050263
1197,0.0,15.092353,11.247195,30.441,24.186,380.81691,116.76,1.687839,451.068066,107.586,14.985797,11.283274,-0.106557,0.03608,0.112499,0.004694,1,1,1,0,2,0,0,0,37,17.745998,17.745998,17.745998,17.745998,1,0,2,0,0,0,37,17.745998,17.745998,17.745998,17.745998
1198,0.0,12.464726,16.291613,25.02,28.356,300.306303,124.266,2.022857,430.027497,105.084,12.366419,15.771554,-0.098307,-0.520059,0.529269,0.022619,1,1,1,0,2,0,0,0,72,35.622812,35.622812,35.622812,35.622812,1,0,2,0,0,0,72,35.622812,35.622812,35.622812,35.622812
1199,0.0,13.898297,13.007743,30.024,26.271,212.840136,112.59,2.177049,221.882364,110.922,14.259047,12.543661,0.36075,-0.464082,0.587804,0.034972,1,1,1,0,2,0,0,0,64,35.050445,35.050445,35.050445,35.050445,1,0,2,0,0,0,64,35.050445,35.050445,35.050445,35.050445
1200,0.0,19.748597,15.665988,38.364,30.858,526.88367,174.306,2.142151,809.801073,136.776,20.135853,17.024963,0.387256,1.358975,1.413075,0.044007,1,1,1,0,2,0,0,0,94,45.314993,45.314993,45.314993,45.314993,1,0,2,0,0,0,94,45.314993,45.314993,45.314993,45.314993
1201,0.0,11.369508,10.883212,28.773,21.684,237.532374,102.582,1.877608,293.524632,98.412,12.336085,10.100639,0.966577,-0.782572,1.24366,0.064332,1,1,1,0,2,0,0,0,47,24.161449,24.161449,24.161449,24.161449,1,0,2,0,0,0,47,24.161449,24.161449,24.161449,24.161449
1202,0.0,19.917769,20.892028,36.696,38.364,1017.946206,160.128,1.415794,1076.37291,148.452,19.594284,20.345154,-0.323485,-0.546874,0.635385,0.017163,1,1,1,0,2,0,0,0,41,21.313995,21.313995,21.313995,21.313995,1,0,2,0,0,0,41,21.313995,21.313995,21.313995,21.313995
1203,0.0,17.527031,13.881627,35.028,28.356,411.769152,148.452,2.063736,657.995976,125.1,17.397187,13.646391,-0.129844,-0.235236,0.268692,0.009283,1,1,3,1,3,1,0,3,115,54.876358,18.292119,38.726814,49.771176,3,1,3,1,0,3,115,54.876358,18.292119,38.726814,49.771176
1204,0.0,15.852408,18.971282,32.526,35.028,588.440376,144.282,1.677861,647.040969,133.44,15.44878,18.355004,-0.403628,-0.616278,0.736691,0.025666,1,1,1,0,2,0,0,0,75,40.328353,40.328353,40.328353,40.328353,1,0,2,0,0,0,75,40.328353,40.328353,40.328353,40.328353
1205,0.0,14.443185,10.876247,25.854,21.684,276.309621,115.926,1.967333,396.640809,93.408,14.726718,10.725639,0.283533,-0.150608,0.321051,0.014286,1,1,3,1,3,1,0,3,62,32.084449,10.694816,15.559816,24.864633,3,1,3,1,0,3,62,32.084449,10.694816,15.559816,24.864633
1206,0.0,7.089676,20.940295,17.097,45.453,375.426351,144.282,2.100607,529.839783,123.432,7.475002,21.246814,0.385326,0.306518,0.492372,0.018957,1,1,3,1,3,1,0,3,94,44.910268,14.970089,25.079271,40.639087,3,1,3,1,0,3,94,44.910268,14.970089,25.079271,40.639087
1207,0.0,18.010787,12.545879,36.279,27.105,578.007036,142.614,1.673365,660.430422,125.1,17.18791,12.878471,-0.822877,0.332592,0.887549,0.030607,1,1,3,1,3,1,0,3,54,29.439358,9.813119,15.589452,22.737722,3,1,3,1,0,3,54,29.439358,9.813119,15.589452,22.737722
1208,0.0,22.502573,30.934604,42.117,49.623,683.905437,226.014,2.437993,1206.267993,181.812,18.678769,29.140618,-3.823805,-1.793986,4.223727,0.107775,1,1,5,2,4,2,0,2,152,81.115616,16.223123,29.367812,63.655802,5,2,4,2,0,2,152,81.115616,16.223123,29.367812,63.655802
1209,0.0,16.531711,11.274825,30.441,28.773,469.674189,150.12,1.954048,620.088174,116.76,17.110097,12.491992,0.578386,1.217167,1.3476,0.04796,1,1,3,1,3,1,0,3,78,41.520082,13.840027,19.228995,36.659174,3,1,3,1,0,3,78,41.520082,13.840027,19.228995,36.659174
1210,0.0,21.029433,19.081495,31.692,36.279,324.302985,167.634,2.625921,697.816557,134.274,17.54294,16.477527,-3.486493,-2.603968,4.351584,0.14599,1,1,3,1,3,1,0,1,120,59.236445,19.745482,31.423176,53.368809,3,1,3,1,0,1,120,59.236445,19.745482,31.423176,53.368809
1211,0.0,14.892956,16.99225,28.773,40.032,471.760857,154.29,2.003881,649.649304,135.942,15.030194,18.264957,0.137238,1.272707,1.280085,0.044509,1,1,1,0,2,0,0,0,79,39.059993,39.059993,39.059993,39.059993,1,0,2,0,0,0,79,39.059993,39.059993,39.059993,39.059993
1212,0.0,17.756231,14.539395,38.781,28.356,492.279759,155.124,1.972278,667.73376,132.606,18.098234,14.795247,0.342003,0.255852,0.427114,0.014648,1,1,1,0,2,0,0,0,64,33.495901,33.495901,33.495901,33.495901,1,0,2,0,0,0,64,33.495901,33.495901,33.495901,33.495901
1213,0.0,11.619351,17.131826,28.356,31.275,398.727477,154.29,2.17969,564.617583,117.594,13.088881,17.213162,1.46953,0.081336,1.471779,0.054892,1,1,7,4,2,4,0,4,139,75.450343,10.77862,25.298993,29.325901,7,4,2,4,0,4,139,75.450343,10.77862,25.298993,29.325901
1214,0.0,12.960113,14.608609,28.773,33.36,498.191985,149.286,1.886756,621.131508,122.598,12.704958,14.647884,-0.255155,0.039275,0.25816,0.00918,1,1,3,1,3,1,0,3,78,38.929176,12.976392,23.756725,34.586449,3,1,3,1,0,3,78,38.929176,12.976392,23.756725,34.586449
1215,0.0,19.044826,10.932154,33.36,20.016,363.949677,120.93,1.788169,460.458072,105.084,17.014009,10.522006,-2.030817,-0.410148,2.07182,0.085566,1,1,3,1,3,1,0,1,70,36.140993,12.046998,14.898543,28.992722,3,1,3,1,0,1,70,36.140993,12.046998,14.898543,28.992722
1216,0.0,21.780339,22.385378,42.534,42.951,1422.933687,177.642,1.32846,1471.796496,169.302,21.612759,21.944231,-0.167579,-0.441148,0.471905,0.010901,1,1,1,0,2,0,0,0,16,7.779908,7.779908,7.779908,7.779908,1,0,2,0,0,0,16,7.779908,7.779908,7.779908,7.779908
1217,0.0,8.192551,15.093217,17.931,24.186,195.972903,86.736,1.747819,237.358485,82.566,7.775293,13.87663,-0.417258,-1.216587,1.286153,0.073984,1,1,1,0,2,0,0,0,44,21.528633,21.528633,21.528633,21.528633,1,0,2,0,0,0,44,21.528633,21.528633,21.528633,21.528633
1218,0.0,16.772902,13.123396,34.194,26.688,599.047605,124.266,1.432243,626.869845,120.096,16.766118,12.864479,-0.006784,-0.258917,0.259005,0.009168,1,1,1,0,2,0,0,0,27,12.885089,12.885089,12.885089,12.885089,1,0,2,0,0,0,27,12.885089,12.885089,12.885089,12.885089
1219,0.0,15.200805,14.237207,28.773,27.522,298.219635,116.76,1.907309,415.420821,110.922,14.828461,13.639426,-0.372344,-0.597781,0.70426,0.030622,1,1,3,1,3,1,0,1,61,31.524358,10.508119,16.899722,24.334176,3,1,3,1,0,1,61,31.524358,10.508119,16.899722,24.334176
1220,0.0,19.746183,10.918275,38.364,22.101,635.042628,124.266,1.39106,641.302632,119.262,19.612681,10.927707,-0.133502,0.009432,0.133835,0.004684,1,1,1,0,2,0,0,0,36,16.810816,16.810816,16.810816,16.810816,1,0,2,0,0,0,36,16.810816,16.810816,16.810816,16.810816
1221,0.0,14.824454,17.898649,33.777,35.445,629.825958,140.112,1.574926,736.767693,136.776,15.1894,17.706556,0.364946,-0.192092,0.412414,0.013465,1,1,3,1,3,1,0,3,75,36.469087,12.156362,13.373635,24.936179,3,1,3,1,0,3,75,36.469087,12.156362,13.373635,24.936179
1222,0.0,14.710465,24.313943,28.356,39.615,459.06696,147.618,1.943553,665.647092,134.274,13.608492,21.290421,-1.101973,-3.023522,3.218079,0.11054,1,1,3,1,3,1,0,1,79,37.13036,12.376787,14.999725,28.444906,3,1,3,1,0,1,79,37.13036,12.376787,14.999725,28.444906
1223,0.0,14.996341,14.168579,32.526,32.526,558.009801,155.124,1.852478,709.814898,128.436,15.095359,13.982372,0.099018,-0.186207,0.210897,0.007015,1,1,3,1,3,1,0,1,88,44.856082,14.952027,20.307268,33.01963,3,1,3,1,0,1,88,44.856082,14.952027,20.307268,33.01963
